club_std,season,squad_value_m,points,avg_age,log_squad_value
Arsenal,2022/2023,743.2,84,24.8,6.6109651874996285
Arsenal,2023/2024,1104.675,89,25.3,7.007306453043716
Arsenal,2024/2025,1146.0,74,25.6,7.044032897274685
Bournemouth,2022/2023,255.675,39,25.8,5.543907106692076
Bournemouth,2023/2024,377.3,48,25.3,5.933040626970265
Bournemouth,2024/2025,396.85,56,25.2,5.983558375536885
Aston Villa,2022/2023,531.05,61,27.6,6.274856178767549
Aston Villa,2023/2024,641.675,68,26.3,6.464081944982431
Aston Villa,2024/2025,636.05,66,26.4,6.45527717660222
Brentford,2022/2023,323.75,59,25.6,5.779971613013747
Brentford,2023/2024,398.875,39,26.5,5.988648084598408
Brentford,2024/2025,422.575,56,25.6,6.046366945836241
Brighton,2022/2023,312.35,62,25.2,5.744124353939579
Brighton,2023/2024,493.325,48,25.5,6.201168186055489
Brighton,2024/2025,643.6,61,24.2,6.467077415118228
Burnley,2023/2024,277.25,24,24.5,5.624919626230477
Chelsea,2022/2023,1165.375,44,25.9,7.060798202616858
Chelsea,2023/2024,1009.175,63,23.9,6.916888444363359
Chelsea,2024/2025,1037.5,69,23.8,6.944569252104853
Crystal Palace,2022/2023,293.16,45,27.5,5.6807185350576495
Crystal Palace,2023/2024,402.385,49,26.5,5.997409341748801
Crystal Palace,2024/2025,449.25,53,26.6,6.1075795256636685
Everton,2022/2023,416.25,36,26.2,6.031286041294654
Everton,2023/2024,339.4,40,27.6,5.827179352800126
Everton,2024/2025,360.6,48,26.8,5.887769310769217
Fulham,2022/2023,259.9,52,27.8,5.560296941647445
Fulham,2023/2024,313.3,47,28.5,5.747161197958146
Fulham,2024/2025,346.55,54,27.7,5.848027108363993
Ipswich,2024/2025,193.6,22,25.8,5.265794174842477
Leeds,2022/2023,351.85,31,25.7,5.863204948412558
Leicester,2022/2023,515.95,34,26.2,6.246009861561723
Leicester,2024/2025,234.5,25,25.8,5.457455587886334
Liverpool,2022/2023,893.4,67,26.5,6.795034408918018
Liverpool,2023/2024,855.475,82,25.8,6.7516568702284605
Liverpool,2024/2025,956.2,84,26.2,6.862967096192003
Luton,2023/2024,102.5,26,26.8,4.629862798578463
Manchester City,2022/2023,1123.575,89,26.5,7.024270845071555
Manchester City,2023/2024,1264.2,91,26.5,7.142194790038198
Manchester City,2024/2025,1479.2,71,27.1,7.299256680072915
Manchester United,2022/2023,831.625,75,26.8,6.723381618062051
Manchester United,2023/2024,842.175,60,26.1,6.735987831126712
Manchester United,2024/2025,850.75,42,25.2,6.746118313381015
Newcastle United,2022/2023,420.125,71,27.1,6.04055228604527
Newcastle United,2023/2024,640.85,60,26.4,6.462795420175833
Newcastle United,2024/2025,638.275,66,27.3,6.458769224958871
Nottingham Forest,2022/2023,335.65,38,27.5,5.816068950384761
Nottingham Forest,2023/2024,408.65,32,26.2,6.0128590439621385
Nottingham Forest,2024/2025,422.15,65,26.1,6.045360701115509
Sheffield United,2023/2024,163.5,16,25.8,5.096812990337308
Southampton,2022/2023,390.3,25,24.9,5.966915674186569
Southampton,2024/2025,289.2,12,26.4,5.66711849028461
Tottenham,2022/2023,744.45,60,27.2,6.61264569070156
Tottenham,2023/2024,792.3,66,25.4,6.674940107971196
Tottenham,2024/2025,854.8,38,24.8,6.750867523444993
West Ham,2022/2023,472.85,40,28.0,6.158778213461521
West Ham,2023/2024,466.85,52,29.0,6.146008006929935
West Ham,2024/2025,460.3,43,28.6,6.131878450823196
Wolverhampton Wanderers,2022/2023,480.1,41,26.1,6.173994415536895
Wolverhampton Wanderers,2023/2024,321.675,46,26.4,5.773541719071054
Wolverhampton Wanderers,2024/2025,422.7,42,27.2,6.046662707572744
